fid,Région,Commune
1,Dakar,Dakar
2,Dakar,Guédiawaye
3,Dakar,Pikine
4,Dakar,Rufisque
5,Diourbel,Bambey
6,Diourbel,Diourbel
7,Diourbel,Mbacké
8,Fatick,Fatick
9,Fatick,Foundiougne
10,Fatick,Gossas
11,Kaffrine,Birkilane
12,Kaffrine,Kaffrine
13,Kaffrine,Koungheul
14,Kaffrine,Malème Hodar
15,Kaolack,Guinguinéo
16,Kaolack,Kaolack
17,Kaolack,Nioro du Rip
18,Kédougou,Kédougou
19,Kédougou,Salémata
20,Kédougou,Saraya
21,Kolda,Kolda
22,Kolda,Médina Yoro Foula
23,Kolda,Vélingara
24,Louga,Kébémer
25,Louga,Linguère
26,Louga,Louga
27,Matam,Kanel
28,Matam,Matam
29,Matam,Ranérou Ferlo
30,Saint-Louis,Dagana
31,Saint-Louis,Podor
32,Saint-Louis,Saint-Louis
33,Sédhiou,Bounkiling
34,Sédhiou,Goudomp
35,Sédhiou,Sédhiou
36,Tambacounda,Bakel
37,Tambacounda,Goudiry
38,Tambacounda,Koupentoum
39,Tambacounda,Tambacounda
40,Thiès,Mbour
41,Thiès,Thiès
42,Thiès,Tivaouane
43,Ziguinchor,Bignona
44,Ziguinchor,Oussouye
45,Ziguinchor,Ziguinchor
