fid,Region,Departemen,Commune,Designatio,No_IRH,Long,Lat,Entreprise,Type_Ouvra,Date_Recep,Aquifere,Prof__Tota,X_dd,Y_dd,ProfTOt
1,DAKAR,DAKAR,Boune,BOUNE P2.6,10-2X-0102,"-17°20'26""","14°46'02""",SONAFOR,Piezometre,1987/02/12,Quaternaire,25,-17.3405555556,14.7672222222,25
2,DAKAR,DAKAR,Camberene,CAMBERENE P2,10-2X-0393,"-17°25'38""","14°45'11""",CSL SENEGAL,Piezometre,2010/10/26,Quaternaire,27,-17.4272222222,14.7530555556,27
3,DAKAR,DAKAR,Camberene,CAMBERENE P2.2,10-2X-0098,"-17°25'42""","14°45'15""",SONAFOR,Piezometre,1987/01/28,Quaternaire,25,-17.4283333333,14.7541666667,25
4,DAKAR,DAKAR,Dakar,DAKAR,10-2X-0085,"-17°27'37""","14°44'55""",FORENCO,Sondage,1956/12/19,,1.2,-17.4602777778,14.7486111111,1.2
5,DAKAR,DAKAR,Diamaguene,DIAMAGUENE  PSQ1,10-2X-0129,"-17°21'21""","14°45'04""",TREVI Spa,Piezometre,1997/11/27,Quaternaire,30,-17.3558333333,14.7511111111,30
6,DAKAR,DAKAR,Dieuppeul_Derklé,DAKAR Point B Puits7,10-2X-0018,"-17°26'40""","14°43'36""",HYDRAF,Forage,1949/10/08,Infrabasaltique,62,-17.4444444444,14.7266666667,62
7,DAKAR,DAKAR,Grand-Yoff,DAKAR,10-2X-0083,"-17°26'36""","14°44'24""",SASIF,Sondage,1953/04/27,,1,-17.4433333333,14.74,1
8,DAKAR,DAKAR,Grand-Yoff,DAKAR,10-2X-0084,"-17°26'30""","14°44'12""",FORENCO,Sondage,1958/02/18,,3.86,-17.4416666667,14.7366666667,3.86
9,DAKAR,DAKAR,Grand-Yoff,DAKAR Autoroute P5 Bas,10-2X-0013,"-17°26'33""","14°44'09""",COFOR,Piezometre,1978/12/18,Infrabasaltique,72,-17.4425,14.7358333333,72
10,DAKAR,DAKAR,Grand-Yoff,DAKAR Autoroute P5 Haut,10-2X-0124,"-17°26'33""","14°44'09""",COFOR,Piezometre,1978/12/18,Infrabasaltique,72,-17.4425,14.7358333333,72
11,DAKAR,DAKAR,Grand-Yoff,DAKAR Camp penal,10-2X-0002,"-17°27'50""","14°44'10""",HYDRAF,Forage,1957/10/31,Infrabasaltique,85.5,-17.4638888889,14.7361111111,85.5
12,DAKAR,DAKAR,Grand-Yoff,DAKAR CAMP PENAL,10-2X-0026,"-17°27'58""","14°44'18""",COFOR,Forage,1977/06/27,Infrabasaltique,91,-17.4661111111,14.7383333333,91
13,DAKAR,DAKAR,Grand-Yoff,DAKAR Front de Terre,10-2X-0001,"-17°27'20""","14°43'44""",HYDRAF,Forage,1950/08/26,Infrabasaltique,83.3,-17.4555555556,14.7288888889,83.3
